Date,Open,High,Low,Close,Adj Close,Volume
2021-11-24,232.449997,232.699997,226.949997,227.699997,217.456497,14139854
2021-11-25,227.000000,232.199997,225.750000,231.300003,220.894547,23904846
2021-11-26,228.899994,230.050003,223.100006,224.000000,213.922943,27027022
2021-11-29,222.000000,223.649994,220.199997,221.500000,211.535431,22132952
2021-11-30,222.000000,225.199997,220.000000,221.149994,211.201157,23503453
2021-12-01,222.000000,223.300003,220.600006,221.899994,211.917419,12995800
2021-12-02,221.899994,226.149994,221.300003,225.449997,215.307724,15904846
2021-12-03,225.000000,226.199997,221.350006,221.649994,211.678665,13794647
2021-12-06,221.649994,222.199997,217.500000,217.899994,208.097366,13138355
2021-12-07,218.899994,221.949997,218.100006,220.649994,210.723663,8903842
2021-12-08,221.000000,225.649994,221.000000,224.949997,214.830215,9861847
2021-12-09,223.000000,236.449997,223.000000,235.399994,224.810089,38241864
2021-12-10,236.199997,238.949997,233.750000,236.100006,225.478622,35162889
2021-12-13,238.000000,238.750000,234.149994,234.600006,224.046112,22054342
2021-12-14,235.000000,237.100006,227.550003,228.600006,218.316010,37508445
2021-12-15,230.000000,232.199997,223.399994,224.050003,213.970703,34653042
2021-12-16,226.000000,226.149994,220.800003,222.899994,212.872421,24199205
2021-12-17,222.800003,222.850006,216.750000,217.949997,208.145111,29683982
2021-12-20,216.250000,216.250000,209.800003,212.399994,202.844788,37340790
2021-12-21,214.000000,215.449997,211.050003,212.500000,202.940292,19395604
2021-12-22,214.000000,214.199997,211.100006,212.000000,202.462799,17239484
2021-12-23,213.899994,218.449997,213.199997,217.300003,207.524368,22209720
2021-12-24,218.000000,220.449997,216.449997,218.000000,208.192871,16581585
2021-12-27,218.399994,218.449997,215.649994,217.550003,207.763123,8153106
2021-12-28,218.000000,220.600006,218.000000,220.050003,210.150650,11568803
2021-12-29,220.000000,220.300003,216.300003,216.750000,206.999100,11480954
2021-12-30,216.600006,217.899994,215.500000,216.000000,206.282852,9741198
2021-12-31,216.899994,218.800003,216.149994,218.050003,208.240631,7583815
2022-01-03,218.050003,219.850006,217.050003,219.100006,209.243393,7765495
2022-01-04,219.500000,221.699997,219.050003,220.250000,210.341660,9050253
